Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;4.0:1, 5:4, 9:1;;AANMAH4059L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;5.0:1, 2:1, 9:1;;AANMAH5029L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;5.0:1, 3:2, 9:1;;AANMAH5039L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;5.0:1, 4:3, 9:1;;AANMAH5049L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;5.0:1, 5:4, 9:1;;AANMAH5059L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;6.0:1, 2:1, 9:1;;AANMAH6029L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;6.0:1, 3:2, 9:1;;AANMAH6039L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;6.0:1, 4:3, 9:1;;AANMAH6049L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;6.0:1, 5:4, 9:1;;AANMAH6059L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;7.0:1, 2:1, 9:1;;AANMAH7029L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;7.0:1, 3:2, 9:1;;AANMAH7039L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;7.0:1, 4:3, 9:1;;AANMAH7049L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
13;AnyRidge Abutment Milling;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1;7.0:1, 5:4, 9:1;;AANMAH7059L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
